  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     0:01 /sbin/init
    2 ?        S      0:00 [kthreadd]
    3 ?        S      0:16 [migration/0]
    4 ?        S      0:05 [ksoftirqd/0]
    5 ?        S      0:00 [migration/0]
    6 ?        S      0:01 [watchdog/0]
    7 ?        S      1:03 [migration/1]
    8 ?        S      0:00 [migration/1]
    9 ?        S      0:03 [ksoftirqd/1]
   10 ?        S      0:01 [watchdog/1]
   11 ?        S      0:10 [migration/2]
   12 ?        S      0:00 [migration/2]
   13 ?        S      0:04 [ksoftirqd/2]
   14 ?        S      0:01 [watchdog/2]
   15 ?        S      1:05 [migration/3]
   16 ?        S      0:00 [migration/3]
   17 ?        S      0:03 [ksoftirqd/3]
   18 ?        S      0:01 [watchdog/3]
   19 ?        S      2:46 [events/0]
   20 ?        S      0:47 [events/1]
   21 ?        S      1:23 [events/2]
   22 ?        S      1:19 [events/3]
   23 ?        S      0:00 [cgroup]
   24 ?        S      0:00 [khelper]
   25 ?        S      0:00 [netns]
   26 ?        S      0:00 [async/mgr]
   27 ?        S      0:00 [pm]
   28 ?        S      0:04 [sync_supers]
   29 ?        S      0:05 [bdi-default]
   30 ?        S      0:00 [kintegrityd/0]
   31 ?        S      0:00 [kintegrityd/1]
   32 ?        S      0:00 [kintegrityd/2]
   33 ?        S      0:00 [kintegrityd/3]
   34 ?        S      0:31 [kblockd/0]
   35 ?        S      0:01 [kblockd/1]
   36 ?        S      0:13 [kblockd/2]
   37 ?        S      0:00 [kblockd/3]
   38 ?        S      0:00 [kacpid]
   39 ?        S      0:00 [kacpi_notify]
   40 ?        S      0:00 [kacpi_hotplug]
   41 ?        S      1:59 [ata/0]
   42 ?        S      0:40 [ata/1]
   43 ?        S      0:53 [ata/2]
   44 ?        S      0:18 [ata/3]
   45 ?        S      0:00 [ata_aux]
   46 ?        S      0:00 [ksuspend_usbd]
   47 ?        S      0:00 [khubd]
   48 ?        S      0:00 [kseriod]
   49 ?        S      0:00 [md/0]
   50 ?        S      0:00 [md/1]
   51 ?        S      0:00 [md/2]
   52 ?        S      0:00 [md/3]
   53 ?        S      0:00 [md_misc/0]
   54 ?        S      0:00 [md_misc/1]
   55 ?        S      0:00 [md_misc/2]
   56 ?        S      0:00 [md_misc/3]
   57 ?        S      0:00 [khungtaskd]
   58 ?        S      0:00 [kswapd0]
   59 ?        SN     0:00 [ksmd]
   60 ?        SN     0:13 [khugepaged]
   61 ?        S      0:00 [aio/0]
   62 ?        S      0:00 [aio/1]
   63 ?        S      0:00 [aio/2]
   64 ?        S      0:00 [aio/3]
   65 ?        S      0:00 [crypto/0]
   66 ?        S      0:00 [crypto/1]
   67 ?        S      0:00 [crypto/2]
   68 ?        S      0:00 [crypto/3]
   73 ?        S      0:00 [kthrotld/0]
   74 ?        S      0:00 [kthrotld/1]
   75 ?        S      0:00 [kthrotld/2]
   76 ?        S      0:00 [kthrotld/3]
   78 ?        S      0:00 [kpsmoused]
   79 ?        S      0:00 [usbhid_resumer]
  110 ?        S      0:00 [iscsi_eh]
  118 ?        S      0:00 [cxgb4]
  121 ?        S      0:00 [cnic_wq]
